Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
1,1,55,1,Supercomputer Fugaku,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",RIKEN Center for Computational Science,Fujitsu,Japan,2020,Research,"7,630,848",,"442,010.00","537,212.00","21,288,960",,"16,004.50","29,899.23",Submitted,14.78,MPP,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,Supercomputer Fugaku,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,"50,831",179807
2,2,51,1,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/SC/Oak Ridge National Laboratory,IBM,United States,2018,Research,"2,414,592","2,211,840","148,600.00","200,794.88","16,473,600",,"2,925.75","10,096.00",Submitted,14.72,Cluster,IBM POWER9 22C 3.07GHz,Power,"3,070",RHEL 7.4,Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922,IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"48,553",179397
3,3,51,3,Sierra,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,"1,572,480","1,382,400","94,640.00","125,712.00","11,902,464",,"1,795.67","7,438.28",Submitted,12.72,Cluster,IBM POWER9 22C 3.1GHz,Power,"3,100",Red Hat Enterprise Linux,Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922,IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"49,763",179398
4,4,47,1,Sunway TaihuLight,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",National Supercomputing Center in Wuxi,NRCPC,China,2016,Research,"10,649,600",,"93,014.59","125,435.90","12,288,000",,480.85,"15,371.00",Submitted,6.05,MPP,Sunway SW26010 260C 1.45GHz,ShenWei,"1,450",Sunway RaiseOS 2.0.5,Linux,None,260,Sunway,Sunway MPP,Sunway Cluster,Custom Interconnect,Sunway,Asia,"50,623",178764
5,7,55,7,Selene,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",NVIDIA Corporation,Nvidia,United States,2020,Vendor,"555,520","483,840","63,460.00","79,215.00","6,598,656",,"1,622.51","2,646.00",Submitted,23.98,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Mellanox HDR Infiniband,North America,"48,448",179842
6,5,41,1,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",National Super Computer Center in Guangzhou,NUDT,China,2018,Research,"4,981,760","4,554,752","61,444.50","100,678.66","9,773,000",,,"18,482.00",Submitted,3.32,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,"2,200",Kylin Linux,Linux,Matrix-2000,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Asia,"50,365",177999
7,,56,7,JUWELS Booster Module,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2020,Research,"449,280","404,352","44,120.00","70,980.00","4,315,584",,"1,275.36","1,764.22",Submitted,25.01,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",CentOS,Linux,NVIDIA A100,24,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179894
8,6,55,6,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",Eni S.p.A.,Dell EMC,Italy,2020,Industry,"669,760","582,400","35,450.00","51,720.76","5,750,784",,860.32,"2,252.17",Submitted,15.74,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Xeon Gold 62xx (Cascade Lake),PowerEdge C4140,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Europe,"50,489",179856
9,8,53,5,Frontera,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",Texas Advanced Computing Center/Univ. of Texas,Dell EMC,United States,2019,Academic,"448,448",,"23,516.40","38,745.91","9,262,848",,,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",CentOS Linux 7,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR,North America,"48,958",179607
10,,56,10,Dammam-7,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",Saudi Aramco,HPE,Saudi Arabia,2020,Industry,"672,520","632,960","22,400.00","55,423.56","5,696,640",,881.40,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),Cray CS-Storm,Cray CS-Storm,Infiniband,InfiniBand HDR 100,Asia,"48,751",179885
11,9,55,9,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",CINECA,IBM,Italy,2019,Academic,"347,776","316,160","21,640.00","29,354.00","2,722,137",,498.43,"1,476.00",Submitted,14.66,Cluster,IBM POWER9 16C 3GHz,Power,"3,000",RHEL 7.6,Linux,Nvidia Volta V100,16,IBM POWER9,IBM Power System AC922,IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"47,495",179845
12,10,40,114,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),Cray/HPE,Switzerland,2017,Research,"387,872","319,424","21,230.00","27,154.30","3,743,232",,496.98,"2,384.24",Submitted,8.90,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,Europe,"50,422",177824
13,11,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,Cray/HPE,United States,2017,Research,"979,072",,"20,158.70","41,461.15","12,353,536",,546.12,"7,578.10",Submitted,2.66,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,North America,"50,334",178610
14,12,51,5,AI Bridging Cloud Infrastructure (ABCI),"PRIMERGY CX2570 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2018,Research,"391,680","348,160","19,880.00","32,576.63","2,918,016",,508.85,"1,649.25",Submitted,12.05,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY CX2570 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"50,762",179393
15,13,52,8,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Leibniz Rechenzentrum,Lenovo,Germany,2018,Academic,"305,856",,"19,476.60","26,873.86","8,402,688",,207.84,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum,ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"48,248",179566
16,,56,16,Hawk,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",HLRS - Höchstleistungsrechenzentrum Stuttgart,HPE,Germany,2020,Research,"698,880",,"19,334.00","25,159.68","9,984,000",,334.65,"3,905.83",Submitted,4.95,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",CentOS Linux 8.1,Linux,None,64,AMD Rome,Apollo 9000,HP Apollo,Infiniband,Mellanox HDR Infiniband,Europe,"50,543",179880
17,14,52,11,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,"288,288","253,440","18,200.00","23,047.20","5,059,584",,,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,"3,100",Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922,IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"49,763",179567
18,15,53,11,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,"291,024","270,720","17,860.00","25,025.81","5,760,000",,,"1,367.00",Submitted,13.07,Cluster,IBM POWER9 18C 3.45GHz,Power,"3,450",RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922,IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"49,546",179689
19,,56,19,TOKI-SORA,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Aerospace eXploration Agency,Fujitsu,Japan,2020,Research,"276,480",,"16,592.00","19,464.20","4,208,640",,614.22,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,187",179895
20,16,48,5,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/SC/LBNL/NERSC,Cray/HPE,United States,2016,Research,"622,336",,"14,014.70","27,880.65","6,984,960",,355.44,"3,939.00",Submitted,3.56,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,North America,"48,429",178924
21,17,51,11,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Korea Institute of Science and Technology Information,Cray/HPE,South Korea,2018,Research,"570,020",,"13,929.30","25,705.90","10,076,976",,391.45,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",CentOS,Linux,None,68,Intel Xeon Phi,Cray CS500,Cray CS,Omnipath,Intel Omni-Path,Asia,"50,770",179421
22,18,48,6,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,"556,104",,"13,554.60","24,913.46","9,938,880",,385.48,"2,718.70",Submitted,4.99,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Linux,Linux,None,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Asia,"50,673",178932
23,19,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160 24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,"253,600","177,520","12,210.00","18,621.14","5,947,392",,271.87,"1,320.00",Submitted,9.25,Cluster,Xeon Platinum 8160 24C 2.1GHz,Intel Skylake,"2,100",RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,"50,489",179444
